	ResponseId	MainBranch	Age	Employment	RemoteWork	Check	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	TechDoc	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	BuyNewTool	BuildvsBuy	TechEndorse	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	LanguageAdmired	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	DatabaseAdmired	PlatformHaveWorkedWith	PlatformWantToWorkWith	PlatformAdmired	WebframeHaveWorkedWith	WebframeWantToWorkWith	WebframeAdmired	EmbeddedHaveWorkedWith	EmbeddedWantToWorkWith	EmbeddedAdmired	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	MiscTechAdmired	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	ToolsTechAdmired	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	NEWCollabToolsAdmired	OpSysPersonal use	OpSysProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackAsyncAdmired	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	OfficeStackSyncAdmired	AISearchDevHaveWorkedWith	AISearchDevWantToWorkWith	AISearchDevAdmired	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOHow	SOComm	AISelect	AISent	AIBen	AIAcc	AIComplex	AIToolCurrently Using	AIToolInterested in Using	AIToolNot interested in Using	AINextMuch more integrated	AINextNo change	AINextMore integrated	AINextLess integrated	AINextMuch less integrated	AIThreat	AIEthics	AIChallenges	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Knowledge_9	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	Frustration	ProfessionalTech	ProfessionalCloud	ProfessionalQuestion	Industry	JobSatPoints_1	JobSatPoints_4	JobSatPoints_5	JobSatPoints_6	JobSatPoints_7	JobSatPoints_8	JobSatPoints_9	JobSatPoints_10	JobSatPoints_11	SurveyLength	SurveyEase	ConvertedCompYearly	JobSat
26382	26383	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Technical documentation;Blogs;Books;Written Tutorials;Video-based Online Courses;AI	API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free)	16	12	Developer, back-end	100 to 499 employees	I have some influence		Out-of-the-box is ready to go with little need for customization	APIs;Customization;Reputation for quality and excellence	India	"INR	Indian rupee"	1900000.0	Java;Python	Java;Python	Java;Python	Elasticsearch;MySQL;Redis	DuckDB;Firebase Realtime Database;PostgreSQL;Redis;Supabase	Redis				Spring Boot	React;Spring Boot	Spring Boot				Pandas;Spring Framework	Apache Kafka;NumPy;Opencv;Pandas;Spring Framework	Pandas;Spring Framework	Docker;Homebrew;Maven (build tool);Pip	Docker;Homebrew;Maven (build tool);Pip	Docker;Homebrew;Maven (build tool);Pip	DataGrip;IntelliJ IDEA;Neovim;PyCharm;Sublime Text;Visual Studio Code	Fleet;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Visual Studio Code	IntelliJ IDEA;Neovim;PyCharm;Sublime Text;Visual Studio Code	MacOS;Windows	MacOS;Windows	Jira;Markdown File	Jira;Markdown File	Jira;Markdown File	Cisco Webex Teams;Discord;Microsoft Teams;Signal;Telegram;Whatsapp	Cisco Webex Teams;Discord;Microsoft Teams;Signal;Telegram;Whatsapp	Cisco Webex Teams;Discord;Microsoft Teams;Signal;Telegram;Whatsapp	ChatGPT;Claude;Cody;GitHub Copilot;Google Gemini	ChatGPT;Claude;Cody;GitHub Copilot;Google Gemini;WolframAlpha	ChatGPT;Claude;Cody;GitHub Copilot;Google Gemini	Stack Overflow	Daily or almost daily	Yes	A few times per month or weekly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques	Yes, definitely	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable	Highly trust	Very well at handling complex tasks	Learning about a codebase;Writing code;Search for answers								No			Yes	Individual contributor	14.0	Strongly agree				Agree					1-2 times a week	1-2 times a week		30-60 minutes a day	60-120 minutes a day	Amount of technical debt;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components	DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery	Cloud only (single or multi-cloud)	AI-powered search (free)	Software Development	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			22731.0	5.0
26384	26385	I am a developer by profession	18-24 years old	Employed, part-time	Hybrid (some remote, some in-person)	Apples	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification			7	1							India	"INR	Indian rupee"		C#;C++;Dart;Lua;PHP;Python;SQL;TypeScript	C#;C++;Dart;Go;Lua;Python;Rust;TypeScript	C#;C++;Dart;Lua;Python;TypeScript	Firebase Realtime Database;MongoDB	Firebase Realtime Database;MongoDB	Firebase Realtime Database;MongoDB	Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud	Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud	Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud	Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;Flask;Node.js;React	ASP.NET;ASP.NET CORE;Express;Htmx;Node.js;React	ASP.NET;ASP.NET CORE;Express;Node.js;React	Cargo;LLVM's Clang;Meson;MSVC;Ninja	Arduino;Cargo;LLVM's Clang;Meson;MSVC;Ninja	Cargo;LLVM's Clang;Meson;MSVC;Ninja	.NET (5+) ;Electron;Flutter;NumPy;Opencv;OpenGL;Pandas;React Native;Tauri;TensorFlow;Torch/PyTorch	.NET (5+) ;Electron;Flutter;NumPy;Opencv;OpenGL;Pandas;Tauri;TensorFlow;Torch/PyTorch	.NET (5+) ;Electron;Flutter;NumPy;Opencv;OpenGL;Pandas;Tauri;TensorFlow;Torch/PyTorch	Make;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution	Make;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution	Make;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution	CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	Arch;Windows	Arch;Windows	Asana	Asana	Asana							Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers	Neutral	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable	Somewhat trust	Good, but not great at handling complex tasks	Learning about a codebase;Debugging and getting help;Search for answers;Generating content or synthetic data	Project planning;Documenting code;Committing and reviewing code	Writing code;Testing code;Deployment and monitoring;Predictive analytics			Learning about a codebase;Debugging and getting help;Search for answers;Generating content or synthetic data			No																																		Too long	Easy		
26395	26396	I used to be a developer by profession, but no longer am	18-24 years old	Student, full-time		Apples		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Colleague;On the job training;Coding Bootcamp			3		Developer, full-stack						India			C;HTML/CSS;Java;JavaScript;SQL	PHP;Python		PostgreSQL;SQLite	MongoDB;MySQL;Oracle					Angular;React;Spring Boot	AngularJS;Django;Node.js					Apache Spark;Flutter;React Native	SwiftUI					Visual Studio;Visual Studio Code	Eclipse;Emacs		Windows	Ubuntu	GitHub Discussions	Azure Devops		Google Chat;Google Meet;Telegram;Whatsapp;Zoom	Skype		Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;OpenAI Codex;Quora Poe	Perplexity AI		Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast	A few times per month or weekly	Yes	A few times per month or weekly	Quickly finding code solutions;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	Yes, somewhat	No, but I plan to soon	Indifferent												No	Replacing jobs without options for new employment opportunities;Imitating a person's likeness	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks																																Appropriate in length	Difficult		
26396	26397	I am a developer by profession	18-24 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp	Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Programming Games	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free)	11	3	Developer, full-stack	1,000 to 4,999 employees	I have little or no influence	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Is set up to be customized and needs to be engineered into a usable product	APIs;Customization;Integrated developer community;Reputation for quality and excellence	India	"INR	Indian rupee"	6000000.0	Bash/Shell (all shells);C#;Dart;Groovy;HTML/CSS;Java;JavaScript;Rust;TypeScript	Assembly;Bash/Shell (all shells);C#;Crystal;Dart;Fortran;Go;Groovy;Java;Kotlin;PHP;Python;Rust;Scala;TypeScript	Bash/Shell (all shells);C#;Dart;Groovy;Java;Rust;TypeScript	Cockroachdb;Elasticsearch;MongoDB;Redis	BigQuery;Cassandra;Cloud Firestore;Cockroachdb;Databricks SQL;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;IBM DB2;InfluxDB;MariaDB;MongoDB;MySQL;Redis;Supabase	Cockroachdb;Elasticsearch;MongoDB;Redis	Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Netlify;Vercel	Amazon Web Services (AWS);Databricks;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;OpenShift;OpenStack;Supabase;Vercel	Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Netlify;Vercel	ASP.NET CORE;Blazor;Next.js;React	ASP.NET CORE;Blazor;Django;Gatsby;Next.js;Nuxt.js;React;Spring Boot	ASP.NET CORE;Blazor;Next.js;React	Rasberry Pi	Rasberry Pi	Rasberry Pi	.NET (5+) ;Flutter;React Native	.NET (5+) ;Apache Kafka;CUDA;DirectX;Flutter;NumPy;OpenCL;OpenGL;Pandas;React Native;Spring Framework	.NET (5+) ;Flutter;React Native	Chocolatey;Homebrew;npm;pnpm;Visual Studio Solution;Webpack;Yarn	APT;Chocolatey;Dagger;Gradle;Homebrew;Kubernetes;npm;Pip;pnpm;Visual Studio Solution	Chocolatey;Homebrew;npm;pnpm;Visual Studio Solution	Android Studio;BBEdit;IntelliJ IDEA;Visual Studio;Visual Studio Code;WebStorm	Android Studio;BBEdit;Eclipse;Fleet;Goland;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;RStudio;Visual Studio;Visual Studio Code;WebStorm;Xcode	Android Studio;BBEdit;IntelliJ IDEA;Visual Studio;Visual Studio Code;WebStorm	Android;iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Confluence;Jira;Markdown File;Notion;Obsidian	Confluence;Jira;Lucid;Markdown File;Microsoft Lists;Miro;Notion;Obsidian;Trello	Confluence;Jira;Markdown File;Notion;Obsidian	Microsoft Teams;Slack;Zoom	Google Chat;Google Meet;Microsoft Teams;Slack	Microsoft Teams;Slack	Bing AI;ChatGPT;Visual Studio Intellicode	Bing AI;ChatGPT;Codeium;Google Gemini;Meta AI;Metaphor;OpenAI Codex;Perplexity AI;Snyk Code;Visual Studio Intellicode	Bing AI;ChatGPT;Visual Studio Intellicode	Stack Overflow;Stack Overflow Blog or Podcast	A few times per week	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	No, not really	Yes	Very unfavorable	Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable	Highly distrust	Bad at handling complex tasks	Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data	Learning about a codebase;Project planning;Deployment and monitoring;Predictive analytics	Committing and reviewing code	Documenting code;Search for answers;Generating content or synthetic data		Writing code;Debugging and getting help;Testing code			I'm not sure	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)	Yes	People manager	3.0	Strongly agree	Agree	Disagree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	1-2 times a week	1-2 times a week	1-2 times a week	60-120 minutes a day	Over 120 minutes a day	Amount of technical debt;Tracking my work;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Reliability of tools/systems used in work	DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative	Hybrid (on-prem and cloud)	Traditional public search engine	Software Development	0.0	0.0	1.0	50.0	99.0	99.0	99.0	99.0	70.0	Appropriate in length	Easy	71781.0	6.0
26401	26402	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Apples	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Video-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free)	9	4	Developer, back-end	10,000 or more employees	I have some influence	Start a free trial;Ask developers I know/work with	Out-of-the-box is ready to go with little need for customization	APIs;Reputation for quality and excellence;Connected to an open source project	India	"INR	Indian rupee"		C;JavaScript;Python;SQL	Bash/Shell (all shells);C;Go;JavaScript;MicroPython;Python;Rust;SQL;TypeScript	C;JavaScript;Python;SQL	BigQuery;Dynamodb;Elasticsearch;MySQL;PostgreSQL;SQLite	Cassandra;Elasticsearch;MongoDB;Neo4J;PostgreSQL;Redis;SQLite	Elasticsearch;PostgreSQL;SQLite	Amazon Web Services (AWS);Google Cloud	Amazon Web Services (AWS);Cloudflare;Databricks;Digital Ocean	Amazon Web Services (AWS)	FastAPI;Flask	FastAPI;React	FastAPI	GNU GCC	GNU GCC;Rasberry Pi	GNU GCC	Apache Kafka;NumPy;Scikit-Learn;Torch/PyTorch	Apache Kafka;Apache Spark;CUDA;Hugging Face Transformers;NumPy;Opencv;RabbitMQ;Ruff;Scikit-Learn;Torch/PyTorch	Apache Kafka;NumPy;Scikit-Learn;Torch/PyTorch	Docker;Homebrew;Pip	Docker;Homebrew;Kubernetes;Pip;Terraform	Docker;Homebrew;Pip	IPython;Jupyter Notebook/JupyterLab;Nano;Sublime Text;Visual Studio Code	IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code	IPython;Jupyter Notebook/JupyterLab;Visual Studio Code	MacOS;Ubuntu	MacOS;Ubuntu	Confluence;GitHub Discussions;Jira;Markdown File	Confluence;GitHub Discussions;Jira;Markdown File	Confluence;GitHub Discussions;Jira;Markdown File	Discord;Slack;Whatsapp;Zoom	Cisco Webex Teams;Discord;Slack;Zoom	Discord;Slack;Zoom	ChatGPT;Claude	Claude	Claude	Stack Overflow;Stack Exchange	A few times per week	Yes	A few times per week	Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers	Yes, somewhat	No, but I plan to soon	Indifferent												No	Circulating misinformation or disinformation;Energy demand	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)	No																															Appropriate in length	Neither easy nor difficult		
26405	26406	I am a developer by profession	18-24 years old	Student, full-time;Not employed, but looking for work		Apples		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine	4	Less than 1 year	Developer, full-stack						India			Dart;JavaScript;Python	Dart;JavaScript	Dart;JavaScript	MongoDB	PostgreSQL		Amazon Web Services (AWS);Google Cloud	Amazon Web Services (AWS)	Amazon Web Services (AWS)	Django;Express;React	Express;React	Express;React				Flutter	Flutter;React Native	Flutter	npm	npm;Vite	npm	Visual Studio Code	Visual Studio Code	Visual Studio Code	Windows;Windows Subsystem for Linux (WSL)	Windows;Windows Subsystem for Linux (WSL)	Confluence;Jira	Confluence;Jira	Confluence;Jira	Google Chat;Google Meet	Discord		Amazon Q;Bing AI;GitHub Copilot	Bing AI;GitHub Copilot	Bing AI;GitHub Copilot	Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers	Yes, somewhat	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning	Somewhat trust	Good, but not great at handling complex tasks	Writing code;Debugging and getting help;Committing and reviewing code;Search for answers;Generating content or synthetic data	Learning about a codebase;Project planning	Documenting code;Testing code;Deployment and monitoring;Predictive analytics		Search for answers;Generating content or synthetic data	Writing code;Debugging and getting help;Committing and reviewing code			No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints																																	Appropriate in length	Easy		
26409	26410	I am a developer by profession	25-34 years old	Employed, full-time	Remote	Apples	Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Other (please specify):	Technical documentation;Coding sessions (live or recorded);Interactive tutorial;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)	API document(s) and/or SDK document(s);AI-powered search/dev tool (free)		1	Other (please specify):	10,000 or more employees	I have little or no influence	Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow	Out-of-the-box is ready to go with little need for customization	APIs;Customization;Integrated developer community;Quality support system;AI tool integration;Reputation for quality and excellence;Frequent updates to features	India	"INR	Indian rupee"		Apex;JavaScript	Ada;JavaScript	JavaScript																								Jira	Jira	Jira	Microsoft Teams	Microsoft Teams	Microsoft Teams	Bing AI;ChatGPT;Google Gemini	Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Lightning AI;Visual Studio Intellicode	Bing AI;ChatGPT;Google Gemini	Stack Overflow	A few times per month or weekly	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers	Yes, somewhat	Yes	Favorable	Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable	Somewhat trust	Good, but not great at handling complex tasks	Debugging and getting help	Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data	Learning about a codebase			Debugging and getting help			No	Biased results that do not represent diverse viewpoints	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them	Yes	People manager	0.0	Neither agree nor disagree	Strongly disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Never	1-2 times a week	Never	60-120 minutes a day	30-60 minutes a day	Maintaining security of systems/platforms used in work		Cloud only (single or multi-cloud)	Other:	Media & Advertising Services										Too long	Neither easy nor difficult		7.0
26421	26422	I am learning to code	18-24 years old	Student, full-time;Independent contractor, freelancer, or self-employed	Remote	Apples	Bootstrapping a business	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Technical documentation;Books;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;AI;Certification videos	API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free)	5		Developer, full-stack						India																												Windows	Notion	Notion	Notion	Discord;Whatsapp	Discord;Whatsapp	Discord;Whatsapp	ChatGPT;Google Gemini	ChatGPT;Google Gemini	ChatGPT;Google Gemini	Stack Overflow	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques	Neutral	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable	Somewhat trust	Neither good or bad at handling complex tasks	Debugging and getting help;Testing code	Learning about a codebase;Writing code;Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data	Project planning;Documenting code;Deployment and monitoring	Debugging and getting help;Testing code					Yes	Circulating misinformation or disinformation	AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools																																Too long	Neither easy nor difficult		
26422	26423	I am learning to code	18-24 years old	Student, full-time		Apples		Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;AI;Certification videos	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free)	2		Student						India			C;HTML/CSS;Java;JavaScript	Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python	HTML/CSS;Java;JavaScript	MongoDB;MySQL	Cassandra;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL	MongoDB;MySQL				Express;jQuery;Node.js;React	Angular;AngularJS;Django;Express;Flask;jQuery;Next.js;Node.js;React;Spring Boot;Vue.js	Express;jQuery;Node.js;React										IntelliJ IDEA;Visual Studio;Visual Studio Code	Android Studio;IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code	IntelliJ IDEA;Visual Studio;Visual Studio Code	Android;Windows	Android;Ubuntu;Windows				Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp	Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp	Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp	ChatGPT;GitHub Copilot;Google Gemini	ChatGPT;GitHub Copilot;Google Gemini;Perplexity AI	ChatGPT;GitHub Copilot;Google Gemini	Stack Overflow;Stack Overflow Blog or Podcast	A few times per month or weekly	Yes	I have never participated in Q&A on Stack Overflow	Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	Yes, somewhat	No, but I plan to soon	Favorable												No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand	AI tools lack context of codebase,  internal architecture, and/or company knowledge																																Too long	Easy		
26434	26435	I am not primarily a developer, but I write code sometimes as part of my work/studies	35-44 years old	Not employed, and not looking for work		Apples		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)	Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses;AI	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free)	12	10	Senior Executive (C-Suite, VP, etc.)						India			C;C++;HTML/CSS;Java;JavaScript;Python	Go;Kotlin;Rust;Scala		MongoDB;Redis	Cassandra;Neo4J		Google Cloud	Google Cloud	Google Cloud	Django;Flask;Next.js;Node.js	Astro;NestJS;Nuxt.js;React;Svelte					GTK;Keras;NumPy;OpenCL;Opencv;OpenGL;Pandas;Qt;TensorFlow;Torch/PyTorch	Spring Framework		Ansible;Ant;APT;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pacman;Pip;Terraform;Unity 3D	Ansible;Ant;APT;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform;Unreal Engine;Yarn	Ansible;Ant;APT;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform	Android Studio;CLion;Code::Blocks;Eclipse;Geany;IntelliJ IDEA;Kate;Neovim;Netbeans;Notepad++;PyCharm;Qt Creator;Spyder;Sublime Text;Visual Studio;Visual Studio Code	Android Studio;CLion;Code::Blocks;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Kate;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Xcode	Android Studio;CLion;Code::Blocks;IntelliJ IDEA;Kate;Spyder;Sublime Text;Visual Studio;Visual Studio Code	Android;Debian;Ubuntu	Android;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Jira;Markdown File	Notion;Obsidian					Bing AI;ChatGPT;Google Gemini;WolframAlpha	Bing AI;ChatGPT;Google Gemini	Bing AI;ChatGPT;Google Gemini	Stack Overflow	Less than once per month or monthly	No		Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques	No, not really	Yes	Very favorable	Increase productivity;Greater efficiency	Somewhat trust	Neither good or bad at handling complex tasks	Learning about a codebase	Project planning;Writing code	Committing and reviewing code;Generating content or synthetic data	Learning about a codebase					No	Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them																																Appropriate in length	Easy		
